img_url,part_name,part_cat_name,color_name,rgb
https://cdn.rebrickable.com/media/parts/ldraw/15/61678.png,Slope Curved 4 x 1 No Studs [Stud Holder with Asymmetric Ridges],Bricks Curved,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4211622.jpg,Technic Bush,Technic Bushes,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/302326.jpg,Plate 1 x 2,Plates,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6115260.jpg,Slope 45° 2 x 2 Double Convex,Bricks Sloped,Dark Orange,A95500
https://cdn.rebrickable.com/media/parts/elements/302001.jpg,Plate 2 x 4,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4211189.jpg,Plate 2 x 3,Plates,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/ldraw/14/4319.png,Hinge Bar 8L with 3 Fingers and Open End Stud,"Hinges, Arms and Turntables",Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/6361353.jpg,Equipment Watering Can,Minifig Accessories,Lime,BBE90B
https://cdn.rebrickable.com/media/parts/elements/4112982.jpg,Brick 1 x 6,Bricks,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/6124825.jpg,Plate Round 1 x 1 with Open Stud,Plates Round Curved and Dishes,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4593679.jpg,Panel 1 x 2 x 2 [Side Supports / Hollow Studs],Panels,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6000606.jpg,Bracket 1 x 2 - 1 x 2 Inverted,Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4210751.jpg,Technic Beam 1 x 3 Thick,Technic Beams,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4122441.jpg,Plate 1 x 4,Plates,Lime,BBE90B
https://cdn.rebrickable.com/media/parts/elements/6092572.jpg,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/6073445.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Trans-Light Blue,AEEFEC
https://cdn.rebrickable.com/media/parts/elements/6248491.jpg,Slope Curved 3 x 2 No Studs,Bricks Curved,Dark Blue,0A3463
https://cdn.rebrickable.com/media/parts/elements/346002.jpg,Plate 1 x 8,Plates,Light Gray,9BA19D
https://cdn.rebrickable.com/media/parts/elements/4211428.jpg,Brick 1 x 3,Bricks,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4210639.jpg,Technic Brick 1 x 1 with Pin Hole,Technic Bricks,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/6288312.jpg,"Pod, Square 3 x 8 x 6 2/3 [Female]",Containers,Medium Azure,36AEBF
https://cdn.rebrickable.com/media/parts/elements/4569624.jpg,Brick 1 x 1,Bricks,Medium Nougat,AA7D55
https://cdn.rebrickable.com/media/parts/elements/4211190.jpg,Plate 1 x 4,Plates,Reddish Brown,582A12
